data_publicada,titulo_publicado,url,nome_arquivo,responsavel,passagem_1,passagem_2,passagem_3,passagem_4,passagem_5,qtde_tokens_pass_1,qtde_tokens_pass_2,qtde_tokens_pass_3,qtde_tokens_pass_4,qtde_tokens_pass_5,qtde_total_tokens
2023-08-29,076-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/8B/54/46/AF/7524A8103234E0A8AC094EA8/CE 076-2023-VNC Nova versão da ePUMA - Inclusão da oferta LOC_PT.pdf,2023-08-29|076-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-08-24,147-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/ED/E0/85/CC/4E72A8103234E0A8AC094EA8/OC 147-2023 PRE  Alteração de carteira para renda fixa (PT).pdf,2023-08-24|147-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-24,146-2023-PRE-Ofício Circular,"https://www.b3.com.br/data/files/13/57/18/AE/4D72A8103234E0A8AC094EA8/OC 146-2023 PRE Alterações Manual Proceds Op. de Negociação B3 - FM, Criação Oferta LOC e Controle Mensagens (PT).docx.pdf",2023-08-24|146-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-24,041-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/66/54/81/7C/2892A8103234E0A8AC094EA8/CE 041-2023-VPC Comunicado Externo_1M_OUT23 - Balcão B3.pdf,2023-08-24|041-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-08-17,145-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/83/E1/0B/FA/2D40A810746C7D98AC094EA8/OC 145-2023 PRE Alterações Manual de Adm. de Risco - Alteração da Metodologia do Consumo de Mercado para Opções (PT).pdf,2023-08-17|145-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-15,142-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/88/22/63/5D/6D9F98101D7C7D98DC0D8AA8/OC 142-2023 PRE Lançamento do Índice de Diversidade B3 - IDIVERSA B3 (PT).pdf,2023-08-15|142-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-15,143-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/AE/C3/A1/99/ED9F98101D7C7D98DC0D8AA8/OC 143-2023 PRE Alteração na Grade Horária de Negociação de DAX (DAX) e Euro Stoxx 50 (ESX) Port.pdf,2023-08-15|143-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-08,014-2023-VPE-Comunicado Externo,https://www.b3.com.br/data/files/B5/96/F6/E1/6D6D98101DBF7498AC094EA8/CE 014-2023-VPE Contingência programada LDL0005 - Balcão B3_Ago23 _PT.pdf,2023-08-08|014-2023-VPE-Comunicado Externo.pdf,,,,,,,,,,,,
2023-08-01,074-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/5D/F1/92/D0/C72B98101DBF7498AC094EA8/CE 074-2023-VNC Teste de Continuidade PUMA Trading System (PTRD)_PT.pdf,2023-08-01|074-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-08-01,013-2023-VPE-Comunicado Externo,https://www.b3.com.br/data/files/35/13/29/EF/E72B98101DBF7498AC094EA8/CE 013-2023-VPE Postergação da Remoção de Acessos.pdf,2023-08-01|013-2023-VPE-Comunicado Externo.pdf,,,,,,,,,,,,
