published_date,published_title,url,file_name
2023-09-28,016-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/5C/16/62/79/AECDA810E9C1AAA8AC094EA8/OC 016-2023-VPC_IbovSmartDividendosB3_VF.pdf,2023-09-28|016-2023-VPC-Ofício Circular.pdf
2023-09-28,004-2023-VPE-Ofício Circular,https://www.b3.com.br/data/files/78/A7/43/6F/6CCDA810E9C1AAA8AC094EA8/OC 004-2023-VPE Gestor como Agente de Registro_PT.pdf,2023-09-28|004-2023-VPE-Ofício Circular.pdf
2023-09-26,087-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/99/A5/B8/82/5E2DA810E9C1AAA8AC094EA8/CE 087-2023-VNC Evento Corporativo de Atualização para HAPV3_PT.pdf,2023-09-26|087-2023-VNC-Comunicado Externo.pdf
2023-09-26,018-2023-PRE-Comunicado Externo,https://www.b3.com.br/data/files/12/D1/63/BD/543DA810E9C1AAA8AC094EA8/CE 018-2023 PRE + ANEXO - ref.Descontinuação de Compartilhamento de Alertas pela BSM (PT).pdf,2023-09-26|018-2023-PRE-Comunicado Externo.pdf
2023-09-26,085-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/3E/45/D0/ED/DD2DA810E9C1AAA8AC094EA8/CE 085-2023-VNC Evento Corporativo de Atualização para BOVA11_PT.pdf,2023-09-26|085-2023-VNC-Comunicado Externo.pdf
2023-09-26,086-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/E0/65/5A/72/1E2DA810E9C1AAA8AC094EA8/CE 086-2023-VNC Evento Corporativo de Atualização para IBOV11_PT.pdf,2023-09-26|086-2023-VNC-Comunicado Externo.pdf
2023-09-26,159-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/F3/71/C2/C7/01ECA810E9C1AAA8AC094EA8/OC 159-2023 PRE Alterações no MPO da Câmara B3 (PT).pdf,2023-09-26|159-2023-PRE-Ofício Circular.pdf
2023-09-26,088-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/29/96/F7/94/8E2DA810E9C1AAA8AC094EA8/CE 088-2023-VNC Evento Corporativo de Atualização para SMAL11_PT.pdf,2023-09-26|088-2023-VNC-Comunicado Externo.pdf
2023-09-26,089-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/8F/20/AD/21/CE2DA810E9C1AAA8AC094EA8/CE 089-2023-VNC Revisão dos parâmetros para os Túneis de Negociação_PT.pdf,2023-09-26|089-2023-VNC-Comunicado Externo.pdf
2023-09-26,158-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/D7/B0/97/57/0EDCA810E9C1AAA8AC094EA8/OC 158-2023 PRE Atualização dos critérios elegibilidade empréstimo de FIIs (PT).pdf,2023-09-26|158-2023-PRE-Ofício Circular.pdf
2023-09-21,013-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/E3/A7/3A/8E/F28BA810E9C1AAA8AC094EA8/OC 013-2023-VNC Diferenciado_PT.pdf,2023-09-21|013-2023-VNC-Ofício Circular.pdf
2023-09-21,012-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/73/E6/7D/11/A28BA810E9C1AAA8AC094EA8/OC 012-2023-VNC Alterações no MPO da Câmara B3 - Janela de débito de ativos diluída_PT.pdf,2023-09-21|012-2023-VNC-Ofício Circular.pdf
2023-09-21,012-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/D8/35/E8/19/F58BA810E9C1AAA8AC094EA8/OC 012-2023-VPC IDAP5_PT Revisado.pdf,2023-09-21|012-2023-VPC-Ofício Circular.pdf
